business_id,year,gross_revenue,net_income,name,industry,size,region,start_year,incentive_type,duration_years,estimated_savings,corp_tax_before,corp_tax_after
1,2018,31388132,1763802,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.3,0.3
1,2019,357221675,76028145,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.3,0.3
1,2020,166669417,41958757,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.3,0.3
1,2021,165370520,30194707,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.3,0.25
1,2022,316580493,35632539,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.25,0.25
1,2023,30210549,3725847,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.25,0.25
1,2024,207043588,62042682,"Rodriguez, Figueroa and Sanchez",Manufacturing,MSME,Region IV-A,2013,,,,0.25,0.25
2,2018,371365226,98893065,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.3,0.3
2,2019,426721297,117671558,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.3,0.3
2,2020,467548793,88454664,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.3,0.3
2,2021,238489462,37641984,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.3,0.25
2,2022,225364199,14085394,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.25,0.25
2,2023,428686669,68140173,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.25,0.25
2,2024,91881433,4923812,Doyle Ltd,Retail,MSME,Region I,2020,Special Corporate Income Tax,4.0,7774047.0,0.25,0.25
3,2018,429398048,121454476,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.3,0.3
